url,title,published,reason,kept_twin
https://www.newtimes.co.rw/article/34090/news/technology/digital-ids-how-registration-is-progressing-so-far,Digital IDs: How registration is progressing so far,2026-03-16,already-held,raw/2026-03-16 Digital IDs How registration is progressing so far
https://www.biometricupdate.com/202602/rwanda-digital-id-initiative-advances-with-1-5-million-enrollments,Rwanda digital ID initiative advances with 1.5 million enrollments,2026-02-10,already-held,raw/2026-02-10 Rwanda digital ID initiative advances with 1.5 million enrollments
https://www.biometricupdate.com/202508/rwanda-national-identification-agency-begins-digital-id-enrollment,Rwanda National Identification Agency begins digital ID enrollment,2025-08-08,already-held,raw/2025-08-08 Rwanda National Identification Agency begins digital ID enrollment
https://itweb.africa/article/rwanda-china-forge-technology-alliance/ka3wwqdzgw67rydz,Rwanda China forge technology alliance,2026-01-19,already-held,raw/2026-01-19 Rwanda China forge technology alliance
https://techafricanews.com/2026/03/30/rwanda-moves-to-phase-out-2g-and-3g-devices,Rwanda Moves to Phase Out 2G and 3G Devices in Digital Transition Push,2026-03-30,already-held,raw/2026-03-30 Rwanda Moves to Phase Out 2G and 3G Devices
https://techreviewafrica.com/news/5128/rwanda-hosts-first-aws-outposts-deployment-in-region,Rwanda hosts first AWS Outposts deployment in region,2026-04-01,already-held,raw/2026-04-01 Rwanda hosts first AWS Outposts
https://www.wearetech.africa/en/fils-uk/news/tech/rwanda-launches-dedicated-ai-agency-to-drive-investment-and-innovation,Rwanda Launches Dedicated AI Agency to Drive Investment and Innovation,2026-06-10,already-held,raw/2026-06-10 Rwanda Launches Dedicated AI Agency
https://www.newtimes.co.rw/article/33786,Rwanda-Anthropic AI deal targets health education gains,2026-03-04,already-held,raw/2026-03-04 Rwanda-Anthropic AI deal targets health education gains
https://www.wearetech.africa/en/fils-uk/news/tech/rwanda-unveils-strategy-to-become-africas-fintech-hub,Rwanda Unveils Strategy to Become Africa's Fintech Hub,2024-12-04,out-of-window,
https://www.ktpress.rw/2024/05/ministry-of-ict-gives-roadmap-for-issuance-of-digital-id/,Ministry of ICT Gives Roadmap for Issuance of Digital ID,2024-05-09,out-of-window,
https://techreviewafrica.com/news/5859/rwanda-moves-to-establish-national-artificial-intelligence-agency-in-major-digital-economy-push,Rwanda moves to establish National Artificial Intelligence Agency,2026-06-08,pr-wire-better-twin,new-queue/RWA/2026-06-08-ai-agency-cabinet-approves-ktpress.md
https://techreviewafrica.com/news/5635/broadband-systems-corporation-signs-mou-with-oman-data-park-to-develop-ai-ready-data-centre-in-rwanda,Broadband Systems Corporation signs MoU with Oman Data Park,2026-05-29,pr-wire-better-twin,new-queue/RWA/2026-05-29-bsc-oman-data-park-mou-techafricanews.md
https://techreviewafrica.com/news/6268/egypt-signs-digital-cooperation-mou-with-rwanda,Egypt signs digital cooperation MoU with Rwanda,2026-07-10,pr-wire-better-twin,new-queue/RWA/2026-07-10-rwanda-egypt-ai-mou-techafricanews.md
https://www.connectingafrica.com/5g-networks/mwc-kigali-2025-telecom-expert-lohini-moodley-on-the-future-of-5g-in-africa,MWC Kigali 2025: Telecom expert Lohini Moodley on the future of 5G in Africa,2025-10-01,off-topic,
https://techreviewafrica.com/news/4621/rwanda-advocates-for-stronger-local-infrastructure-to-drive-digital-economy-ambitions,Rwanda advocates for stronger local infrastructure,2025-01-01,off-topic,
https://techreviewafrica.com/news/4765/rwanda-fintech-stakeholders-engage-telecom-operators-to-enhance-digital-financial-ecosystem,Rwanda Fintech stakeholders engage telecom operators,2025-01-01,off-topic,
