file,url,status,words_before,words_after,diagnosis
2025-01-07-ictam-national-id-integration-digital-growth-times.md,https://times.mw/id-system-said-to-be-key-to-digital-growth/,full,164,509,likely-summary
2025-01-08-data-center-national-souverainete-numerique.md,https://lendjampost.com/tchad-vers-la-garantie-dune-souverainete-numerique/,full,236,649,likely-summary
2025-01-09-nigeria-police-cybercrime-unit-interpol.md,https://www.wearetech.africa/en/fils-uk/news/nigeria-police-cybercrime-unit-recovers-funds-named-best-in-africa-by-interpol,full,432,553,ambiguous
2025-01-14-aws-accepts-naira-payments.md,https://techcabal.com/2025/01/14/aws-accepts-naira-payments,full,481,645,likely-verbatim
2025-01-14-somalia-civil-registration-overhaul.md,https://www.hiiraan.com/news4/2025/Jan/199818/somalia_launches_ambitious_civil_registration_overhaul.aspx,full,212,504,likely-summary
2025-01-15-us-nigeria-2m-fibre-deal.md,https://itweb.africa/article/us-nigeria-ink-2m-deal-to-expand-fibre-optic-network/rxP3jqBE4KpMA2ye,full,347,435,likely-summary
2025-01-15-ustda-nigeria-enhance-internet-access.md,https://www.connectingafrica.com/connectivity/ustda-nigeria-to-enhance-internet-access,full,481,737,likely-verbatim
2025-01-16-cbn-mda-naira-payment-docflow.md,https://www.vanguardngr.com/2025/01/cbn-launches-mda-naira-payment-solutions-docflow,failed,324,,ambiguous | http 403 | http 403 | http 403
2025-01-16-senegal-mauritania-digital-mou.md,https://www.wearetech.africa/en/fils-uk/news/tech/senegal-and-mauritania-sign-mou-to-deepen-digital-cooperation,full,296,407,ambiguous
2025-01-20-ncc-approves-50-percent-tariff-increase.md,https://techcabal.com/2025/01/20/ncc-approves-tariff-increase,full,202,369,likely-summary
2025-01-20-nigcomsat-eutelsat-leo-services.md,https://www.connectingafrica.com/connectivity/nigcomsat-eutelsat-partner-for-leo-services-in-nigeria,full,288,542,likely-summary
2025-01-21-google-works-with-eswatini-to-accelerate-digital-economy.md,https://itweb.africa/article/google-works-with-eswatini-to-accelerate-digital-economy/Gb3BwMWankAv2k6V,full,156,221,likely-summary
2025-01-22-artp-sim-registration-warning.md,https://itweb.africa/article/senegalese-telcos-called-to-order-over-sim-registrations/RgeVDMPRVGXvKJN3,full,182,209,likely-summary
2025-01-22-mtn-esim-launch-telecomreviewafrica.md,https://www.telecomreviewafrica.com/articles/telecom-operators/4695-mtn-south-sudan-pioneers-esim-technology-redefining-connectivity/,full,153,245,likely-summary
