url,title,published,reason,kept_twin
https://techreviewafrica.com/news/6233/african-union-pushes-for-unified-african-voice-at-global-ai-governance-dialogue,African Union pushes for unified African voice at Global AI Governance Dialogue,2026-07-09,exact-URL already held,raw/2026-07-09 African Union pushes for unified African voice at Global AI Governance Dialogue.md
https://techcabal.com/2026/05/23/orange-backed-subsea-cable-to-connect-nigeria-19-other-countries/,Orange-backed subsea cable to connect Nigeria 19 other countries,2026-05-23,exact-title already held,raw/2026-05-23 Orange-backed subsea cable to connect Nigeria, 19 other countries.md
https://techafricanews.com/2026/07/14/zambia-and-comesa-launch-ai-initiative-to-advance-regional-digital-transformation/,Zambia and COMESA Launch AI Initiative,2026-07-14,exact-title already held,raw/2026-07-14 Zambia and COMESA Launch AI Initiative to Advance Regional Digital Transformation.md
https://www.connectingafrica.com/fiber-networking/atf-2025-seacom-s-prenesh-padayachee-on-the-seacom-2-0-subsea-cable-system,Seacom 2.0 subsea cable system,2025-11-01,exact already held,raw/2025-11-01 Seacom's Prenesh Padayachee on the 'Seacom 2.0' subsea cable.md
https://techafricanews.com/2025/07/14/smart-africa-and-11-member-states-draft-africas-first-cross-border-data-exchange-guidelines/,Smart Africa 11 Member States Cross-Border Data Exchange Guidelines,2025-07-14,same event as held primary (different outlet no added payload),raw/2025-07-14 Smart Africa co-creates Africa's first Cross-Border Data Exchange Guidelines (Rabat, ADD-chaired CAITA).md
https://techreviewafrica.com/news/6176/afcfta-digital-trade-forum-2026-concludes-in-lagos-with-strong-push-for-implementation-of-digital-trade-protocol,AfCFTA Digital Trade Forum 2026 concludes in Lagos,2026-07-04,same Lagos-forum event already held (PR-wire lead-net),raw/2026-07-07 African nations recommit to operationalize AfCFTA digital single market framework.md
https://techcabal.com/2026/03/17/mtn-targets-up-to-30-million-connected-homes-across-africa/,MTN targets up to 30 million connected homes across Africa,2026-03-17,company-level pan-African expansion not bloc/framework,
https://techcabal.com/2026/01/08/how-africas-infrastructure-ambitions-scaled-up-in-2025/,How Africa's infrastructure ambitions scaled up in 2025,2026-01-08,year-in-review roundup listicle not a discrete development,
https://techafricanews.com/2025/06/18/guinea-and-sierra-leone-strengthen-regional-connectivity-with-landmark-fibre-optic-interconnection-agreement/,Guinea and Sierra Leone fibre-optic interconnection,2025-06-18,bilateral/country-level not regional-bloc,
https://techafricanews.com/2025/10/30/senegal-and-togo-strengthen-cooperation-on-digital-identity-systems/,Senegal and Togo digital identity cooperation,2025-10-30,bilateral/country-level not regional-bloc,
https://techcabal.com/2026/02/26/pesalink-taps-papss-network/,Kenya Pesalink taps PAPSS network,2026-02-26,country-level (Kenya) and already held,raw/2026-02-26 Pesalink and PAPSS Unlock Cross-Border Payments in Local Currencies in Kenya.md
