url,title,published,reason,kept_twin
https://www.hiiraan.com/news4/2025/Nov/203644/a_smart_national_id_powers_somalia_s_digital_public_infrastructure_dpi_vision.aspx,A smart national ID powers Somalia's DPI vision,2025-11-17,exact-url-already-held,raw/2025-11-17 A smart national ID powers Somalia's Digital Public Infrastructure vision.md
https://wardheernews.com/somalias-digital-id-a-milestone-on-the-roadmap-towards-effective-governance-and-service-delivery/,Somalia's Digital ID: A Milestone on the Roadmap,2025-11-27,exact-url-already-held,raw/2025-11-27 Somalia's Digital ID - A Milestone.md
https://techcabal.com/2026/01/07/how-ethiopia-somalia-and-djibouti-building-africas-digital-powerhouses/,"Why Ethiopia, Somalia and Djibouti are starting to matter",2026-01-07,exact-url-already-held,"raw/2026-01-07 Why Ethiopia, Somalia and Djibouti...md"
https://wardheernews.com/somalia-walking-a-thorny-road-to-an-inclusive-national-digital-id-system/,Somalia walking a thorny road (WardheerNews reprint),2025-06-02,syndicated-reprint-of-held-biometricupdate,raw/2025-06-02 Somalia walking a thorny road.md
https://www.biometricupdate.com/202601/somalia-requires-125m-to-fully-implement-national-digital-id-system,Somalia requires $125M to fully implement national digital ID,2026-01-05,cross-outlet-dup-of-held-idtechwire,raw/2026-01-12 Somalia estimates $125 million...md
https://techafricanews.com/2026/02/06/somalia-approves-regulatory-framework-to-strengthen-public-data-protection/,Somalia approves regulatory framework (data protection),2026-02-06,cross-outlet-dup-of-held-itweb,raw/2026-02-06 Somalia adopts data regulatory framework.md
https://techafricanews.com/2026/06/25/somalia-launches-technical-working-group-to-strengthen-undersea-cable-infrastructure/,Somalia Launches Technical Working Group undersea cable,2026-06-25,same-event-as-staged-hiiraan-IFC-submarine-WG,new-queue/SOM/2026-06-22-somalia-ifc-submarine-cable-working-group.md
https://techreviewafrica.com/news/6017/somalia-launches-first-submarine-cable-technical-working-group,Somalia launches first submarine cable technical working group,,same-event-staged-hiiraan-IFC + PR-wire lead-net,new-queue/SOM/2026-06-22-somalia-ifc-submarine-cable-working-group.md
https://techafricanews.com/2025/08/06/starlink-launches-in-somalia-boosting-connectivity-in-underserved-areas/,Starlink Launches in Somalia (TechAfrica),2025-08-06,same-event-starlink-live-Aug5 staged hiiraan+wardheernews,new-queue/SOM/2025-08-05-starlink-launches-somalia-rural.md
https://www.connectingafrica.com/connectivity/starlink-lights-up-in-somalia,Starlink lights up in Somalia (Connecting Africa),2025-08-05,same-event-starlink-live-Aug5 staged hiiraan+wardheernews,new-queue/SOM/2025-08-05-starlink-launches-somalia-rural.md
https://techafricanews.com/2026/03/30/somalia-boosts-digital-security-with-world-class-cybersecurity-training-for-civil-servants/,Somalia Boosts Digital Security cybersecurity training (TechAfrica),2026-03-30,same-event-as-staged-wearetech-cyber-training,new-queue/SOM/2026-04-01-somalia-cybersecurity-certification-program.md
https://www.hiiraan.com/news4/2025/Mar/200844/somalia_launches_first_nationwide_instant_payment_system_powered_by_bpc.aspx,Somalia launches first nationwide Instant Payment System (BPC),2025-03-24,sponsored-press-release; event held via fintechfutures SIPS,raw/2025-03-25 Somalia taps BPC to launch first nationwide instant payment system.md
https://mail.developingtelecoms.com/telecom-business/telecom-regulation/17643-somalia-aims-to-develop-policy-to-accelerate-the-deployment-of-optical-fibre.html,Somalia aims to develop policy to accelerate optical fibre,2024-11-20,out-of-window-pre-2025,
