file,url,status,chars_body
2025-01-08-data-center-national-souverainete-numerique.md,https://lendjampost.com/tchad-vers-la-garantie-dune-souverainete-numerique/,filled,1549
2025-01-25-ansice-cisa-cybersecurite-infrastructures-critiques.md,https://lendjampost.com/securite-informatique-lansice-et-la-cisa-unissent-leurs-forces-pour-proteger-les-infrastructures-critiques-du-tchad/,filled,1564
2025-02-11-telemedan-solar-kiosks-rural-healthcare.md,https://www.wearetech.africa/en/fils-uk/solutions/telemedan-delivers-healthcare-to-rural-chad-through-solar-powered-kiosks,filled,1805
2025-02-12-coupure-internet-lac-internet-society.md,https://lendjampost.com/coupure-dinternet-dans-le-lac-internet-society-tchad-tire-la-sonnette-dalarme/,filled,1985
2025-02-17-tchad-inde-partenariat-numerique.md,https://www.wearetech.africa/fr/fils/actualites/gestion-publique/le-tchad-explore-un-partenariat-avec-l-inde-dans-le-numerique,filled,2643
2025-02-25-centre-apprentissage-numerique-abeche.md,https://www.wearetech.africa/fr/fils/breves/breves-simple/tchad-un-centre-d-apprentissage-numerique-inaugure-a-abeche,filled,571
2025-03-07-trans-saharan-fiber-project-delays.md,https://www.wearetech.africa/en/fils-uk/news/public-management/chad-urges-speed-on-delayed-trans-saharan-fiber-optic-project,filled,2358
2025-03-19-starlink-license-chad-launch-niger.md,https://www.telecomreviewafrica.com/articles/general-news/11399-starlink-launches-services-in-niger-and-secures-operating-license-in-chad/,filled,1196
2025-01-16-senegal-mauritania-digital-mou.md,https://www.wearetech.africa/en/fils-uk/news/tech/senegal-and-mauritania-sign-mou-to-deepen-digital-cooperation,filled,2116
2025-01-22-artp-sim-registration-warning.md,https://itweb.africa/article/senegalese-telcos-called-to-order-over-sim-registrations/RgeVDMPRVGXvKJN3,filled,1253
2025-01-22-artp-subscriber-identification-rules.md,https://techafricanews.com/2025/01/22/artp-reinforces-subscriber-identification-rules-for-senegals-telecom-operators/,filled,2192
2025-01-23-paix-dakar-data-centre-itweb.md,https://itweb.africa/article/paix-data-centres-builds-a-new-data-centre-in-senegal/JBwErvn3nxw76Db2,filled,2064
2025-01-24-draft-law-media-regulator.md,https://techreviewafrica.com/news/1958/senegal-introduces-draft-law-to-establish-a-new-media-regulatory-authority,filled,2821
2025-01-27-paix-dakar-data-center-connectingafrica.md,https://www.connectingafrica.com/data-centers/paix-to-build-data-center-in-senegal,filled,3253
2025-01-28-paix-dakar-data-centre-construction.md,https://www.wearetech.africa/fr/fils/actualites/tech/senegal-paix-data-centres-lance-la-construction-d-un-centre-de-donnees,filled,2885
2025-01-30-startup-law-implementation-phase.md,https://www.wearetech.africa/en/fils-uk/news/tech/senegals-startup-law-advances-into-implementation-phase,filled,2271
2025-01-31-alive-dicentre4ai-ai-labs.md,https://techreviewafrica.com/news/1997/senegal-bolsters-ai-development-with-launch-of-alive-and-dicentre4ai-laboratories,filled,2300
2025-02-01-id-card-passport-enrolment-surge.md,https://lesoleil.sn/actualites/societe-fait-divers/obtention-de-passeports-et-cartes-didentite-afflux-de-demandeurs-a-dakar-thies-et-touba/,filled,2538
2025-02-03-orange-backs-new-deal.md,https://www.wearetech.africa/en/fils-uk/news/orange-backs-senegal-s-new-technological-deal,filled,1819
2025-02-04-ai-strategy-for-senegal.md,https://lesoleil.sn/actualites/sciences/intelligence-artificielle-quelle-strategie-pour-le-senegal/,filled,4846
2025-02-04-ninea-business-registration-platform.md,https://www.wearetech.africa/en/fils-uk/news/public-management/senegal-launches-new-platform-to-streamline-business-registration,filled,1522
2025-02-12-sonatel-netgem-cloud-gaming.md,https://www.wearetech.africa/en/fils-uk/news/tech/sonatel-netgem-launch-wido-games-west-africas-first-cloud-gaming-platform,filled,1982
2025-02-15-new-deal-stakes-and-challenges.md,https://lesoleil.sn/actualites/technologie/programme-new-deal-technologique-enjeux-et-defis-dune-strategie/,filled,5701
