url,title,published,reason,kept_twin
https://malawi24.com/2026/01/28/malawi-positions-data-privacy-as-cornerstone-of-digital-development/,Malawi positions data privacy as cornerstone of digital development,2026-01-28,already-held,raw:2026-01-28 Malawi positions data privacy as cornerstone
https://www.biometricupdate.com/202607/malawi-reaches-13-5m-digital-ids-as-universal-coverage-comes-into-view,Malawi reaches 13.5M digital IDs as universal coverage comes into view,2026-07-13,already-held,raw:2026-07-13 Malawi reaches 13.5M digital IDs
https://www.biometricupdate.com/202505/malawi-nears-full-scale-digital-id-rollout-to-streamline-access-to-services,Malawi nears full scale digital ID rollout,2025-05-28,already-held,raw:2025-05-28 Malawi nears full scale digital ID rollout
https://www.biometricupdate.com/202506/malawis-boosts-digital-economy-with-connectivity-plans-2m-digital-id-enrollments,Malawi boosts digital economy with connectivity plans 2M digital ID enrollments,2025-06-24,already-held,held-urls
https://itweb.africa/article/malawi-integrates-immigration-e-services/Olx4z7kaxp3q56km,Malawi integrates immigration e-services,2026-07-07,already-held,raw:2026-07-07 Malawi integrates immigration e-services
https://cajnewsafrica.com/2026/07/13/malawi-outlines-plans-to-transition-to-digital-ids/,Malawi outlines plans to transition to digital IDs,2026-07-13,already-held,raw:2026-07-13 Malawi outlines plans to transition to digital IDs (CAJ News)
https://techreviewafrica.com/news/6297/malawi-consults-stakeholders-on-draft-data-protection-regulations-and-registration-fees,Malawi consults stakeholders on draft data protection regulations and registration fees,2026-07-14,pr-wire-better-twin,new-queue:2026-07-14 macra-data-protection (itweb) + 2026-07-16 macra-targets (malawi24)
https://techreviewafrica.purplealmondconsulting.com/news/4901/malawi-moves-to-expand-digital-connectivity-with-over-90-new-communication-towers,Malawi moves to expand digital connectivity with over 90 new communication towers,2026-04-15,pr-wire-better-twin,new-queue:2026-03-26 dmap-90-telecom-towers (techafricanews)
https://techcabal.com/2024/03/02/malawi-tech-ecosystem-feature/,Why Malawi's nascent tech ecosystem is ripe for growth,2024-03-02,out-of-window,
https://www.telecomreviewafrica.com/articles/telecom-operators/3424-breaking-barriers-tnm-becomes-malawi-s-first-5g-pilot-operator/,Breaking Barriers: TNM Becomes Malawi's First 5G Pilot Operator,2023-05-25,out-of-window,
https://www.telecomreviewafrica.com/articles/features/28544-how-telecom-regulation-in-africa-is-shaping-spectrum-and-market-futures/,How Telecom Regulation in Africa Is Shaping Spectrum and Market Futures,2026-04-08,off-topic,regional/pan-African feature - not MWI-specific
