Variable,Variable Name,Definition,Data Type,Format,Mandatory,Key,References,Unit,Data Collection Guidelines,Other Metadata
facility_id,Facility Id,"Unique identifier for the facility, ",string,"Constructed as ISO-3 country code + sequential number (e.g. KEN-001, ZAF-003).",yes,primary,,,Assign sequentially within each country. Use the same ID across data collection rounds to enable longitudinal tracking.,Primary key. Must be unique across the entire register.
facility_name,Facility Name,The official or commonly used commercial name of the data centre facility.,string,Text,yes,,,,"Use the name as marketed by the operator. Include any location suffix used commercially (e.g. 'Teraco JB1', 'PAIX Kigali KGL-1'). If the facility has no public name, use '[Operator] [City]'.",Prefer the English-language name where available. Include local-language name in parentheses if commonly used.
country,Country,ISO-3 code for country in which the facility is physically located.,string,Must exist in countries.csv,yes,foreign,countries.iso3,,Use standard ISO-3 country codes from countries.csv.,Links to the wider DPI mapping project's country list.
city,City,City or town where the facility is located.,string,Text,,,,,"Use the most commonly referenced city name. For facilities outside city boundaries, use the nearest city and note the actual location in comments.",Standardise spelling across entries (e.g. always 'Johannesburg' not 'Joburg').
gps_coordinates,GPS Coordinates,Latitude and longitude of the facility.,string,"e.g. 6.3655, 2.4183",,,,,"Search operator websites, Google Maps, and facility marketing materials. Many operators publish approximate locations. Code as 0 if unavailable.",Approximate coordinates are acceptable. Precision to 4 decimal places is sufficient.
operational_status,Operational Status,Current operational status of the facility.,enum,Decommissioned; Operational; Planned; Under construction; Unknown,,,,,"Search for recent news, operator press releases, and industry databases (e.g. Cloudscene, DataCenterMap). Prioritise sources from the last 12 months.",Status may change rapidly. Always record the date of the source used.
year_operational,Year Operational,Year the facility became operational or is expected to become operational.,integer,YYYY,,,,,"Search operator websites, press releases, and news articles for opening dates or construction completion announcements.","For facilities under construction, record the announced target year."
facility_type,Facility Type,Primary classification of the data centre by service model.,enum,Colocation/carrier-neutral; Edge; Enterprise; Government; Hyperscale; Research,,,,,Determine from the facility's marketed services. A facility offering rack space to multiple tenants is colocation. A facility built for a single organisation's internal use is enterprise/captive.,A single facility may serve multiple functions. Record the primary type. Note secondary functions in comments.
services_offered,Services Offered,Key services offered by the facility.,string,text,,,,,"List the main service categories: colocation, managed hosting, cloud services, disaster recovery, connectivity/peering, managed security, etc. Separate with semicolons.",Focus on what is actively marketed or documented. Do not infer services.
govt_data_hosted,Govt Data Hosted,Whether the facility hosts government data or systems.,enum,Designated national / government data centre; Hosts government data alongside commercial; No government data; Unknown,,,,,"Search for government cloud contracts, public procurement records, and operator client lists.",Key indicator for sovereign infrastructure mapping. Note which ministries or agencies if identifiable.
operator_org_id,Operator Id,Name of the entity that manages the day-to-day operations of the facility.,string,FK. Organisations,,foreign,organisations.organisation_id,,"Identify the operating company, which may differ from the owner. For government facilities, name the specific agency or SOE.","Record the current operator. If recently changed, note the previous operator in comments. Select id from organisations.csv. If not present create a new row in organisations.csv"
parent_company_org_id,Parent Company Id,"Ultimate parent company or controlling entity, if different from operator.",string,FK. Organisations,,foreign,organisations.organisation_id,,"Trace ownership through corporate filings, press releases, and databases like Crunchbase or Bloomberg. For government facilities, name the ministry or authority.",Important for mapping concentration and foreign influence. Record the highest identifiable parent in the corporate chain. Select id from organisations.csv. If not present create a new row in organisations.csv
ultimate_parent_company,Ultimate Parent Company,The topmost entity in the ownership chain and the ultimate controlling parent,string,Text,,,,,"Traced via corporate registries, SEC/stock exchange filings, annual reports, and press releases",Digital Realty Trust (self)
ultimate_parent_company_hq_country,Ultimate Parent Company HQ Country,Name/s of country where ultimate parent comaniy/ies are registered,string,Text,,,,,,
ownership_type,Ownership Type,Classification of the ownership structure.,enum,Government / SOE; Joint venture (majority domestic); Joint venture (majority foreign); Multilateral / DFI; PPP; Private domestic; Private foreign; Unknown,,,,,"Determine from company registration, press releases, and corporate websites. For joint ventures, identify the majority shareholder.",This variable is critical for sovereignty analysis. Take care to distinguish between operational control and equity ownership.
ownership_structure_type,Ownership Structure Type,Legal/corporate structure of the ultimate parent or controlling entity,string,Text,,,,,"Reflects the structure of the ultimate parent, not the operator itself",Public Listed Company
major_shareholders,Major Shareholders,"Top 5 shareholders with stakes, for publicly listed or large private entities",string,Semi-colon delimited list of names and percentages,,,,,Percentages from most recent available filings (2024-2026); empty for entities where data is not publicly available,Vanguard (13.4%)|BlackRock (10.8%)|State Street (6.3%)
government_ownership_pct,Government Ownership Pct,"Percentage of the ultimate parent owned by government entities (direct state shareholding, sovereign wealth funds, state pension funds)",string,Text,,,,,Includes indirect government ownership via state-controlled holding companies,100% (Government of Egypt)
foreign_ownership_pct,Foreign Ownership Pct,Percentage of the entity owned by non-domestic (foreign) entities relative to the country of operation,string,Text,,,,,Empty where not publicly disclosed,95
controlling_entities,Controlling Entities,Entities with >25% equity stake or effective board/management control,string,Text,,,,,,Digital Realty (55% of Teraco)|Institutional investors (dispersed)
control_mechanisms,Control Mechanisms,How control over the facility is exercised by the controlling entities,string,Text,,,,,,Equity|Board Control
dfi_involvement,Dfi Involvement,"Development Finance Institutions involved in financing or equity investment, including type (equity, debt, guarantee) where known",string,Text,,,,,DFI equity investment with board seats may indicate governance influence; debt-only is lower control concern,IFC|US DFC|BII|Finnfund|AfDB
investment_usd,Investment Usd,Total reported capital investment in the facility in US dollars.,integer,,,,,USD,"Search for investment announcements, DFI project databases (IFC, AfDB, US DFC), and financial press.","Record the most recent total investment figure. Note whether this is for initial build, expansion, or total campus in comments."
expansion_plans,Expansion Plans,Whether the facility has announced expansion plans.,enum,Active (under construction); No plans; Planned; Unknown,,,,,"Search for recent press releases, construction permits, and industry news from the last 24 months.",Indicates market confidence and future capacity trajectory.
key_tenants,Key Tenants,"Notable tenants or anchor clients, if publicly known.",string,Text,,,,,"Search for client announcements, press releases, and operator case studies. Do not speculate; only record publicly confirmed tenants.",Many tenants are confidential. Only record what is publicly documented.
hyperscaler_presence,Hyperscaler Presence,Is one or more hyperscaler present at the facility,boolean,Yes/No,,,,,,TRUE; FALSE
