url,title,published,reason,kept_twin
https://www.biometricupdate.com/202509/idakto-cso-explains-moroccos-move-to-prioritize-digital-id-after-cyberattacks,iDAKTO CSO explains Morocco's move to prioritize digital ID after cyberattacks,2025-09-24,already-held,2025-09-24 Morocco fast-tracks 'Mon e-ID' digital identity after cyberattacks (iDAKTO)
https://www.biometricupdate.com/202505/morocco-boosts-digital-id-use-for-govt-services-with-new-public-sector-partnerships,Morocco boosts digital ID use for govt services with new public sector partnerships,2025-05-05,already-held,2025-05-05 Morocco boosts digital ID for government services (DGSN–Ministry partnership)
https://www.biometricupdate.com/202511/morocco-prepares-new-legislation-to-accelerate-digital-transformation,Morocco prepares new legislation to accelerate digital transformation,2025-11-06,already-held,2025-11-06 Morocco prepares 'Digital X.o' draft law
https://www.biometricupdate.com/202607/digital-identity-wallets-present-big-choices-as-eudi-preparations-ramp-up,Digital identity wallets present big choices as EUDI preparations ramp up,2026-07-04,off-topic,
https://www.telecomreviewafrica.com/articles/features/28878-beyond-the-signal-why-africas-next-telecom-era-will-be-built-beneath-the-surface/,Beyond the Signal: Why Africa's Next Telecom Era Will Be Built Beneath the Surface,2026-06-22,off-topic,
https://www.telecomreviewafrica.com/articles/features/13404-telecom-and-technology-trends-set-to-define-africa-in-2026/,Telecom and Technology Trends Set to Define Africa in 2026,2025-11-25,off-topic,
https://www.telecomreviewafrica.com/tag/morocco/,Morocco Archives (tag page),,off-topic,
https://itweb.africa/locations/1gxnklOvzw74Ymz5,Morocco News (location index page),,off-topic,
https://techcabal.com/tag/morocco/,morocco (tag page),,off-topic,
https://insights.techcabal.com/whats-next-for-african-tech-5-key-predictions-for-2026/,What's next for African tech: 5 key predictions for 2026,2026-01-13,off-topic,
https://assabah.ma/,Assabah homepage,,off-topic,
https://assabah.ma/677420.html,مديرية الأمن تطور منصاتها المعلوماتية الخدماتية,2022-12-23,out-of-window,
https://techreviewafrica.com/news/1835/moroccos-minister-of-digital-transition-and-administration-reform-presents-2025-sub-budget-and-strategic-vision,Morocco Minister of Digital Transition presents 2025 sub-budget and strategic vision,2024-11-08,out-of-window,
